"Business Objects for: "	Fraud Diagnosis
"UML Type"	"Business Object"	"Supertype"	"Attribute"	"Description"	"Data Type"
Attribute	Algorithm	""	AlgorithmUsageGuideline	""	String
Class	Analysis	""	""	"Def.1 The insights derived from an analysis applied to an entity using specific models/evaluation methods. . Def.2 A detailed examination of anything complex"	""
Attribute	Analysis	""	AnalysisType	""	AnalysisTypeValues
Attribute	Analysis	""	AnalysisResult	""	Text
Attribute	Analysis	""	AnalysisPeriod	"The period covered by the analysis (from to date time)"	DateTimePeriod
Attribute	Analysis	""	AnalysisDocument	""	Document
Attribute	Analysis	""	AnalysisDateTime	""	DateTime
Attribute	Analysis	""	AnalysisSpecification	""	Text
Class	CompetitorAnalysis	""	""	"An assessment of the strengths and weaknesses of current and potential competitors"	""
Class	CompetitorAnalysis	Analysis	""	"Def.1 The insights derived from an analysis applied to an entity using specific models/evaluation methods. . Def.2 A detailed examination of anything complex"	""
Class	Party	""	""	"A party represents an autonomous entity in which a bank has a business interest. It has a legal definition and identity. A party is a Person, Organization, (a proposed definition for BIAN BOM adapted from BIAN Party Working Group) . . - Entity involved in an activity. (ISO20022)"	""
Attribute	Party	""	PartyName	"Name by which a party is known and which is usually used to identify that party. (ISO20022)"	Name
Attribute	Party	""	PartyType	"Specifies the type of party in different business contexts. (ISO20022)"	String
Attribute	Party	""	PartyDateTime	""	String
Attribute	Party	""	PartyIdentification	""	PartyIdentification
Class	CompetitorAnalysisAlgorithm	""	""	"An analysis algorithm/approach used internally to generate a competitor analysis report"	""
Class	CompetitorAnalysisAlgorithm	Algorithm	""	"An algorithm is a step by step procedure designed to perform an operation. . . Algorithms are a collection of models/calculations/algorithms that can be applied to a subject or activity. (Behavior Qualifier Type)"	""
Class	MarketResearchReport	""	""	"A report resulting from market research. "	""
Attribute	MarketResearchReport	""	MarketResearchReportContent	""	String
Attribute	MarketResearchReport	""	MarketResearchReportType	"Reference to the Market Research Report Type which the report is an instance of"	String
Attribute	MarketResearchReport	""	MarketResearchReportPeriod	"Period the Market research and its report apply to"	String
Attribute	MarketResearchReport	""	MarketResearchReportVersion	"Version of the market research report"	String
Class	MarketResearchReport	Report	""	"A unique and specific set of information containing the content for communications.. . The term Report is mostly used as communication about a particular subject matter, often in the form of an official document, after thorough investigation or consideration by an appointed person or body.. . A document containing information organized in a narrative, graphic, or tabular form, prepared on ad hoc, periodic, recurring, regular, or as required basis. Reports may refer to specific periods, events, occurrences, or subjects, and may be communicated or presented in oral or written form. (Business Dictionary)"	""
Class	PartyRole	""	""	"A specific role of a specific Party in the specific relationship.  "	""
Attribute	PartyRole	""	PartyRoleType	""	String
Attribute	PartyRole	""	PartyRoleName	""	String
Attribute	PartyRole	""	PartyRoleValidityPeriod	""	String
Attribute	PartyRole	""	PartyInvolvementType	""	String
Class	Competitor	""	""	"Any person or entity which is a rival against another. In business, a company in the same industry or a similar industry which offers a similar product or service. (Business Dictionary). . Read more: http://www.businessdictionary.com/definition/competitor.html"	""
Class	Competitor	PartyRole	""	"A specific role of a specific Party in the specific relationship.  "	""
Class	Market	""	""	"A Physical or virtual space where buyers, sellers, market authorities and other market parties trade products and services according to market rules."	""
Class	CustomerRelationship	""	""	"A specific relationship between a specific Bank (= party acting as a supplier of banking services) and one or more other involved parties acting as (potential) consumers of banking services as agreed in one or more banking product or service offerings and/or agreements."	""
Class	CustomerRelationship	BankingRelationship	""	"A specific Relationship (= an instance of a Relationship Class) between a specific party acting as the Bank and one or more other specific involved Parties.. A Relationship is a logical unit of collaboration between two or more involved Parties."	""
Class	CustomerRelationship	PartyRelationship	""	"A relationship between two or more parties; the parties involved are specified in terms of the roles they play in the relationship.. . A Party Relationship is a connection between an instance of a Party and two or more instances of associated objects in the relationship."	""
Class	CreditAlert	""	""	"An event/message to notify issues as alerts against a credit rating assessment."	""
Class	CreditAlert	Event	""	"Something that happens, has happened, can happen or is planned to happen."	""
Class	InternalCreditAnalysis	""	""	"An internal analysis for credit rating focusing on the internal product/service activities of customer. "	""
Class	InternalCreditAnalysis	Analysis	""	"Def.1 The insights derived from an analysis applied to an entity using specific models/evaluation methods. . Def.2 A detailed examination of anything complex"	""
Class	CreditRatingAgency	""	""	"An organization which gives a credit rating to the customer. "	""
Class	CreditRatingAgency	PartyRole	""	"A specific role of a specific Party in the specific relationship.  "	""
Class	InternalCreditAnalysisReport	""	""	"A report which is the result of the internal analysis of credit.  "	""
Class	InternalCreditAnalysisReport	Report	""	"A unique and specific set of information containing the content for communications.. . The term Report is mostly used as communication about a particular subject matter, often in the form of an official document, after thorough investigation or consideration by an appointed person or body.. . A document containing information organized in a narrative, graphic, or tabular form, prepared on ad hoc, periodic, recurring, regular, or as required basis. Reports may refer to specific periods, events, occurrences, or subjects, and may be communicated or presented in oral or written form. (Business Dictionary)"	""
Class	Measurement	""	""	"Measurement as Generic Artifact: A mechanism to track and report on the state or dynamic property of some item or activity. "	""
Class	PartyRole	""	""	"A specific role of a specific Party in the specific relationship.  "	""
Attribute	PartyRole	""	PartyRoleType	""	String
Attribute	PartyRole	""	PartyRoleName	""	String
Attribute	PartyRole	""	PartyRoleValidityPeriod	""	String
Attribute	PartyRole	""	PartyInvolvementType	""	String
Class	Signal	""	""	""	""
Class	Event	""	""	"Something that happens, has happened, can happen or is planned to happen."	""
Attribute	Event	""	EventType	""	String
Attribute	Event	""	EventDateTime	""	String
Attribute	Event	""	EventDescription	""	String
Attribute	Event	""	EventSource	""	String
Attribute	Event	""	EventLocation	""	String
Attribute	Event	""	EventAction	""	String
Attribute	Event	""	EventStatus	""	String
Attribute	Event	""	EventValue	""	String
Attribute	Event	""	EventValidityPeriod	""	String
Attribute	Event	""	EventIdentification	""	String
Class	ExternalCreditRatingService	""	""	"An external service for credit rating. "	""
Class	CustomerBehaviorModel	""	""	"A model representing the customer behaviour. . . Model is used to facilitate learning what is known of customer behaviour. "	""
Class	CustomerBehaviorModel	Model	""	"A simplified representation of reality. "	""
Class	Assessment	""	""	"the rating/certification derived as result of an applied test assessment of an entity using specific testing criteria"	""
Attribute	Assessment	""	AssessmentType	""	String
Attribute	Assessment	""	AssessmentMethod	""	String
Attribute	Assessment	""	AssessmentSchedule	""	String
Attribute	Assessment	""	AssessmentDescription	""	String
Attribute	Assessment	""	AssessmentModel	""	String
Attribute	Assessment	""	AssessmentDateTime	""	String
Attribute	Assessment	""	AssessmentResult	""	String
Attribute	Assessment	""	AssessmentSupportingDocument	"Document that provides background or corroborating information regarding an assessment(s)."	String
Attribute	Assessment	""	AssessmentRepresentingDocument	"Document that represents the result of an assessment(s)."	String
Attribute	Assessment	""	AssessmentRequiredAdjustment	"Change that the assessment reveals is needed."	String
Attribute	Assessment	""	AssessmentRequirement	""	String
Attribute	Assessment	""	AssessmentExpiryDate	"Date when the assessment expires. (ISO20022)"	String
Class	CustomerRating	""	""	"Rating of the Customer or Customer Relationship for value, credit, risk and etc. "	""
Attribute	CustomerRating	""	CustomerRatingType	"A Classification Hierarchy that distinguishes between Customer Ratings according to the aspect concerned with. . Example values are: Customer Credit Risk, Customer Profitability, Customer Loyalty etc. "	CustomerRatingTypeValues
Attribute	CustomerRating	""	CustomerRatingValue	""	String
Attribute	CustomerRating	""	CustomerRatingDescription	""	String
Attribute	CustomerRating	""	CustomerRatingValueDate	""	String
Attribute	CustomerRating	""	CustomerRatingValidityPeriod	""	String
Class	CustomerRating	CreditPositionMeasurement	""	""	""
Class	Report	""	""	"A unique and specific set of information containing the content for communications.. . The term Report is mostly used as communication about a particular subject matter, often in the form of an official document, after thorough investigation or consideration by an appointed person or body.. . A document containing information organized in a narrative, graphic, or tabular form, prepared on ad hoc, periodic, recurring, regular, or as required basis. Reports may refer to specific periods, events, occurrences, or subjects, and may be communicated or presented in oral or written form. (Business Dictionary)"	""
Attribute	Report	""	ReportType	""	String
Attribute	Report	""	ReportValidityPeriod	""	String
Attribute	Report	""	ReportVersion	""	String
Attribute	Report	""	ReportDateTime	""	String
Attribute	Report	""	ReportFormat	""	String
Class	Analysis	""	""	"Def.1 The insights derived from an analysis applied to an entity using specific models/evaluation methods. . Def.2 A detailed examination of anything complex"	""
Attribute	Analysis	""	AnalysisType	""	AnalysisTypeValues
Attribute	Analysis	""	AnalysisResult	""	Text
Attribute	Analysis	""	AnalysisPeriod	"The period covered by the analysis (from to date time)"	DateTimePeriod
Attribute	Analysis	""	AnalysisDocument	""	Document
Attribute	Analysis	""	AnalysisDateTime	""	DateTime
Attribute	Analysis	""	AnalysisSpecification	""	Text
Class	CustomerCreditRatingAssessment	""	""	"An evaluation of the credit rating for a customer. "	""
Class	CustomerCreditRatingAssessment	Assessment	""	"the rating/certification derived as result of an applied test assessment of an entity using specific testing criteria"	""
Class	ExternalCreditRatingReport	""	""	"A report which is the result of the credit rating by an external agency. . "	""
Class	ExternalCreditRatingReport	Report	""	"A unique and specific set of information containing the content for communications.. . The term Report is mostly used as communication about a particular subject matter, often in the form of an official document, after thorough investigation or consideration by an appointed person or body.. . A document containing information organized in a narrative, graphic, or tabular form, prepared on ad hoc, periodic, recurring, regular, or as required basis. Reports may refer to specific periods, events, occurrences, or subjects, and may be communicated or presented in oral or written form. (Business Dictionary)"	""
Class	CustomerCreditRatingMeasurement	""	""	"The application of a measurement to assess the overall credibility of a customer. . . "	""
Class	CustomerCreditRatingMeasurement	Measurement	""	"Measurement as Generic Artifact: A mechanism to track and report on the state or dynamic property of some item or activity. "	""
Class	Party	""	""	"A party represents an autonomous entity in which a bank has a business interest. It has a legal definition and identity. A party is a Person, Organization, (a proposed definition for BIAN BOM adapted from BIAN Party Working Group) . . - Entity involved in an activity. (ISO20022)"	""
Attribute	Party	""	PartyName	"Name by which a party is known and which is usually used to identify that party. (ISO20022)"	Name
Attribute	Party	""	PartyType	"Specifies the type of party in different business contexts. (ISO20022)"	String
Attribute	Party	""	PartyDateTime	""	String
Attribute	Party	""	PartyIdentification	""	PartyIdentification
Class	CustomerActivityReport	""	""	"A report of the customer's (internal) product/service activities. "	""
Class	CustomerActivityReport	Report	""	"A unique and specific set of information containing the content for communications.. . The term Report is mostly used as communication about a particular subject matter, often in the form of an official document, after thorough investigation or consideration by an appointed person or body.. . A document containing information organized in a narrative, graphic, or tabular form, prepared on ad hoc, periodic, recurring, regular, or as required basis. Reports may refer to specific periods, events, occurrences, or subjects, and may be communicated or presented in oral or written form. (Business Dictionary)"	""
Class	CardPaymentAgreement	""	""	"An agreement established among the parties to use the payment card for payment. (a proposed definition for BIAN BOM adapted from ECB)"	""
Attribute	CardPaymentAgreement	""	CardPaymentInvolvement	""	String
Attribute	CardPaymentAgreement	""	CardAmount	"Amount of the payment card."	String
Attribute	CardPaymentAgreement	""	CardCurrency	"Currency of the payment card. "	String
Attribute	CardPaymentAgreement	""	CardLimitTermAndCondition	"Limit specified on a payment card."	String
Attribute	CardPaymentAgreement	""	CardTaxTermAndCondition	"Tax specified on a payment card."	String
Class	CardPaymentAgreement	Agreement	""	"A formal or informal common understanding between two or more (legal competent) parties concerning one or more subject matters expressed in a set of arrangements, terms and conditions. (adapted from Legal System and FIBO) "	""
Class	CardPaymentService	""	""	"A payment service to execute payment transactions through a payment card, including online payments. (Adapted from PSD). . A service that offers customers the use of payment cards."	""
Attribute	CardPaymentService	""	CardPaymentServiceIdentifier	""	String
Attribute	CardPaymentService	""	CardPaymentServiceType	"Type of payment card as a product."	String
Attribute	CardPaymentService	""	CardPaymentServiceConfiguration	"Configuration specified for the payment card product."	String
Class	CardPaymentService	ProductService	""	"A service offered as a feature of a product."	""
Class	CardPaymentService	BankingProduct	""	"A package of services and goods, accompanied by term and condition which is offered as a whole to (internal or external) customers."	""
Class	CardPaymentService	PaymentService	""	"According to the payment services directive (PSD), the following activities, when carried out as a regular occupation or business activity, are payment services:. 1. Services enabling cash to be placed on a payment account and all of the operations required for operating a payment account; . 2. Services enabling cash withdrawals from a payment account and all of the operations required for operating a payment account; . 3. The execution of the following types of payment transaction:. - direct debits, including one-off direct debits; . - payment transactions executed through a payment card or a similar device; . - credit transfers, including standing orders; . 4. The execution of the following types of payment transaction where the funds are covered by a credit line for the payment service user: . - direct debits, including one-off direct debits; . - payment transactions executed through a payment card or a similar device; . - credit transfers, including standing orders; . 5. Issuing payment instruments or acquiring payment transactions; . 6. Money remittance; . 7. The execution of payment transactions where the consent of the payer to execute the payment transaction is given by means of any telecommunication, digital or IT device and the payment is made to the telecommunication, IT system or network operator acting only as an intermediary between the payment service user and the supplier of the goods or services. "	""
Class	Agreement	""	""	"A formal or informal common understanding between two or more (legal competent) parties concerning one or more subject matters expressed in a set of arrangements, terms and conditions. (adapted from Legal System and FIBO) "	""
Attribute	Agreement	""	AgreementSignedDate	"Date on which the agreement was signed by all parties. (ISO20022)"	Date
Attribute	Agreement	""	AgreementType	"Specifies the category of agreement. Agreement type is very often referred to product. But, the term product does not cover all kinds of agreements. An Agreement can be subtyped from the perspective of various aspects of interest. One can classify the agreement from the perspective of format type (e.g., verbal agreement, written agreement). Other one can classify agreement based on duration like short-term agreement or long-term agreement."	AgreementType
Attribute	Agreement	""	AgreementValidityPeriod	"Period during which the agreement is valid. "	DateTimePeriod
Attribute	Agreement	""	AgreementVersion	""	String
Attribute	Agreement	""	AgreementStatus	"A characteristic of agreement which refers to the LifecycleStatus of agreement (e.g., potential, offered, confirmed, completed, signed, terminated)."	AgreementLifecycleStatus
Attribute	Agreement	""	AgreementSubjectMatter	""	String
Attribute	Agreement	""	AgreementIdentification	"The identifier of agreement like Agreement Number, Contract Number, Contract Registration Number, etc. "	Identifier
Attribute	Agreement	""	AgreementDate	"A characteristic of agreement which refers to 1) LifecycleDate of agreement (e.g., SignedDate, TerminatedDate, FulfilledDate) OR 2) ArrangedDate of agreement (e.g., StartingDate, EndingDate, ValidityPeriod, EffectiveDate)."	DateTime
Class	PaymentCard	""	""	"A device (payment instrument) that can be used by its holder to pay for goods and services or to withdraw money. (The dictionary of ECB). . Electronic money product that provides the cardholder with a portable and specialised computer device that typically contains a microprocessor. (ISO20022). . Payment Card means a category of payment instrument that enables the payer to initiate a debit or credit card transaction. (PSD)"	""
Attribute	PaymentCard	""	CardType	"Type of card, e.g., credit card. (ISO20022)"	PaymentCardType
Attribute	PaymentCard	""	CardNumber	"Number embossed on a card that links the card to the account owner and account servicer (sometimes called personal account number or PAN). (ISO20022)"	String
Attribute	PaymentCard	""	CardStartDate	"Year and month the card is available for use. (ISO20022)"	String
Attribute	PaymentCard	""	CardExpiryDate	"Year and month the card expires. (ISO20022)"	String
Attribute	PaymentCard	""	CardSecurityCode	"Security code written on the card, sometimes called card security code (CSC). (ISO20022)"	String
Attribute	PaymentCard	""	CardVerificationValue	""	String
Attribute	PaymentCard	""	BankIdentificationNumber	"The bank identification number uniquely identifies the institution issuing the card. The BIN is key in the process of matching transactions to the issuer of the charge card."	String
Class	PaymentCard	Device	""	"An item created to serve a particular need, such as a credit card, a smart phone, an electronic signature, an electronic key, etc."	""
Class	CardPaymentInvolvement	""	""	"A specific Party who plays a specific role in the card payment transaction. "	""
Attribute	CardPaymentInvolvement	""	CardPaymentInvolvementType	""	CardPaymentInvolvementType
Class	CardPaymentInvolvement	PartyRole	""	"A specific role of a specific Party in the specific relationship.  "	""
Class	CardPaymentArrangement	""	""	"An agreement established among the card holder and the card issuer to use the payment card for payment"	""
Attribute	CardPaymentArrangement	""	PaymentCardArrangementIdentifier	"Identifier of arrangement/obligation in the payment card agreement."	String
Class	CardPaymentArrangement	PaymentServiceArrangement	""	"An arrangement which specifies the promise to offer the payment service, accompanied by the payment modalities. . . "	""
Class	BankingProduct	""	""	"A package of services and goods, accompanied by term and condition which is offered as a whole to (internal or external) customers."	""
Attribute	BankingProduct	""	ProductIdentification	"The identifier of product e.g. ISIN Code."	ProductIdentification
Attribute	BankingProduct	""	ProductType	"Specifies the category/type/class of product like financial product. Product can be categorized according to different perspectives.  "	BankingProductType
Attribute	BankingProduct	""	ProductLifecycleStatus	"Refers to the lifecycle of a product (e.g., initiated, announced, active, obsolete, withdrawn)."	ProductLifecycleStatus
Attribute	BankingProduct	""	ProductPriority	""	String
Attribute	BankingProduct	""	ProductDescription	"A detailed explanation or commentary of product."	String
Attribute	BankingProduct	""	ProductVersion	""	String
Class	BankingProduct	FinancialInstrument	""	"A contract that gives rise to a financial asset of one entity and a financial liability or equity instrument of another entity. (IFRS). https://www.iasplus.com/en/standards/ias/ias32#:~:text=Key%20definitions%20%5BIAS%2032.11%5D,equity%20instrument%20of%20another%20entity. . Financial instruments are financial contracts of different nature made between institutional units. These comprise the full range of financial claims and liabilities between institutional units, including contingent liabilities like guarantees, commitments, etc. (ISO 10962). "	""
Class	Device	""	""	"An item created to serve a particular need, such as a credit card, a smart phone, an electronic signature, an electronic key, etc."	""
Attribute	Device	""	DeviceIdentification	""	String
Attribute	Device	""	DeviceType	"Reference to the device type of the device. . A device has the characteristics of the device type it belongs to possibly specified. e.g. a device of the type "cheque book" will have cheques. The device specifies how many and what the number range is.. e.g. an electronic banking app consists of software modules, the device specifies what version . . "	String
Attribute	Device	""	DeviceProperty	"Property of a device relevant for its use.. . A device has the characteristics of the device type it belongs to,possibly specified. e.g. . a device of the type "cheque book" will have cheques. The device specifies how many and what the number range is.. e.g. an electronic banking app consists of software modules, the device specifies what version . "	String
Attribute	Device	""	DeviceElement	"An element of the device that can be used independently and is individually identified. . e.g. a cheque in a chequebook"	String
Attribute	Device	""	DeviceStatus	"The life cycle stage of a device. . e.g. active, defect"	String
Attribute	Device	""	DeviceVersion	""	String
Attribute	Device	""	DeviceDateTime	""	String
Attribute	Device	""	DeviceDescription	""	String
Class	InterestArrangement	""	""	"An arrangement into which both parties confirm on an interest product feature. "	""
Attribute	InterestArrangement	""	InterestType	"Type of an arranged Interest"	String
Attribute	InterestArrangement	""	InterestRate	"An arranged InterestRate. . . "	Rate
Attribute	InterestArrangement	""	InterestDefinition	""	String
Attribute	InterestArrangement	""	InterestRateType	"Type of Rate which is arranged to apply interest"	InterestRateTypeValues
Attribute	InterestArrangement	""	InterestPeriod	"Period during which the interest rate has to be applied. "	String
Attribute	InterestArrangement	""	InterestRatePlan	"An arranged InterestRatePlan"	RatePlan
Attribute	InterestArrangement	""	InterestSchedule	"An interest schedule is an arranged/planned set of dates at which interest will be claimed.. . - The set can be represented on a calendar, a formula, a table, etc."	String
Class	InterestArrangement	ProductSalesArrangement	""	"Arrangement whitin the product sales agreement"	""
Class	InterestArrangement	LoanArrangement	""	"An arrangement defining the applicable features for a loan account agreement. . "	""
Class	InterestArrangement	SavingsAccountArrangement	""	"An arrangement defining the applicable features for a savings account agreement. . . The arrangement type is one of those possible/mandatory for the sale of a savings account product. The actual arrangements are a selection of those offered under the savings account product. "	""
Class	InterestArrangement	TermDepositAccountArrangement	""	""	""
Class	InterestArrangement	TermDepositArrangement	""	"An arrangement defining the applicable features for a Corporate Deposit Agreement. . . "	""
Class	InterestArrangement	Arrangement	""	"An agreed commitment to perform actions that meet obligations under an agreement"	""
Class	InterestArrangement	CardPaymentArrangement	""	"An agreement established among the card holder and the card issuer to use the payment card for payment"	""
Class	InterestArrangementFulfillmentEvent	""	""	"A fulfillment of a specific interest arrangement "	""
Attribute	InterestArrangementFulfillmentEvent	""	InterestEventAmount	"The amount of interest that is subject of this transaction"	String
Attribute	InterestArrangementFulfillmentEvent	""	AppliedInterestType	"The InterestType of the Interest arrangement this is a transaction for"	String
Attribute	InterestArrangementFulfillmentEvent	""	AccuredInterestAmount	"Interest amount that has accrued in between coupon payment periods. (ISO20022)"	String
Attribute	InterestArrangementFulfillmentEvent	""	AccuredInterestType	""	String
Attribute	InterestArrangementFulfillmentEvent	""	InterestTaxAmount	""	String
Attribute	InterestArrangementFulfillmentEvent	""	InterestEventDueDate	"The date on which the interest has to be payed"	String
Attribute	InterestArrangementFulfillmentEvent	""	InterestEventDescription	"Description of the transaction, such as applied interest rate, Interest period ..."	String
Attribute	InterestArrangementFulfillmentEvent	""	InterestEventRateType	""	String
Class	InterestArrangementFulfillmentEvent	ArrangementFulfillmentEvent	""	"The fulfilment of the engagements (obligations/rights) taken in an arrangement"	""
Class	FeeArrangement	""	""	"An arrangement which specifies to charge fees when banking transactions did take place, accompanied by the modalities to calculate and charge the fees and the related terms and conditions. "	""
Attribute	FeeArrangement	""	FeeType	"A classification of fee according to the type of service. . Type of service for which a charge is asked or paid. (ISO20022)"	FeeType
Attribute	FeeArrangement	""	FeeAmount	"Base amount that would be applied when the service is requested. . . "	Amount
Attribute	FeeArrangement	""	FeeRate	"Rate used to calculate the amount of the adjustment, allowance, charge or fee. (ISO20022)"	Rate
Attribute	FeeArrangement	""	FeeEffectivePeriod	"Period during which the fee is applicable. (ISO20022)"	DateTimePeriod
Attribute	FeeArrangement	""	FeeDueDate	"Date on which the fee needs to be paid.. - It is not nessessary a date and could be  expressed as a calander or formula or events that would be fulfiled. "	DateTime
Attribute	FeeArrangement	""	FeePlan	"An arranged FeeRatePlan. "	FeePlan
Class	FeeArrangement	CardPaymentArrangement	""	"An agreement established among the card holder and the card issuer to use the payment card for payment"	""
Class	FeeArrangement	CashServiceArrangement	""	"ServiceArrangement defined for cash financial instruments like FeeArrangement, DepositArrangement, ..."	""
Class	FeeArrangement	ProductSalesArrangement	""	"Arrangement whitin the product sales agreement"	""
Class	FeeArrangement	Arrangement	""	"An agreed commitment to perform actions that meet obligations under an agreement"	""
Class	FeeArrangement	TermDepositArrangement	""	"An arrangement defining the applicable features for a Corporate Deposit Agreement. . . "	""
Class	FeeArrangement	SavingsAccountArrangement	""	"An arrangement defining the applicable features for a savings account agreement. . . The arrangement type is one of those possible/mandatory for the sale of a savings account product. The actual arrangements are a selection of those offered under the savings account product. "	""
Class	FeeArrangement	MerchantArrangement	""	"Arrangement within a merchant agreement"	""
Class	FeeArrangement	LoanArrangement	""	"An arrangement defining the applicable features for a loan account agreement. . "	""
Class	FeeArrangement	TermDepositAccountArrangement	""	""	""
Class	InterestCalculationArrangementModality	""	""	"InterestModality to calculate the interest. . "	""
Attribute	InterestCalculationArrangementModality	""	InterestCalculationMethod	"A method has to be used for calculating the interest"	InterestCalculationMethodTypeValues
Attribute	InterestCalculationArrangementModality	""	InterestCalculationFrequency	"The periodicity of the calculation of the interest. (ISO20022). "	String
Attribute	InterestCalculationArrangementModality	""	InterestCalculationDate	"The calculation date of the interest amount. (ISO20022)"	DateTime
Attribute	InterestCalculationArrangementModality	""	InterestCalculationParameter	"A parameter used to calculate the interest. "	String
Attribute	InterestCalculationArrangementModality	""	InterestCalculationMethodType	"Specifies whether the interest calculation method is simple or compounding. (ISO20022). . Simple: Calculation method by which interest is calculated on the original principal only. Accumulated interest from prior periods is not used in calculations for the following periods. (ISO20022). . Compounding: Calculation method by which interest is calculated each period on the original principal and all interest accumulated during past periods. (ISO20022)"	InterestCalculationMethodTypeValues
Class	InterestCalculationArrangementModality	InterestArrangementModality	""	"A selection of interest product feature modalities for a specific interest arrangement in a specific agreemen"	""
Class	MoneyTransferInstruction	""	""	"Instruction to execute a payment from a payer to a payee"	""
Attribute	MoneyTransferInstruction	""	MoneyTransferInstructionType	"Classification of the Money Transfer Instruction according to the event that lead to the instruction. . e.g. withdrawal, interest disbursement, direct debit, card payment."	String
Attribute	MoneyTransferInstruction	""	MoneyTransferInstructionAmount	"Amount of money to be transferred."	String
Attribute	MoneyTransferInstruction	""	MoneyTransferInstructionAmountCurrency	"Currency in which the transfer amount is expressed."	String
Attribute	MoneyTransferInstruction	""	MoneyTransferInstructionPurpose	"The reason why the instruction is given. . can be reference to a lot of information, concerning e.g. a purchase, an arrangement fulfillment event, a billing period..."	String
Attribute	MoneyTransferInstruction	""	MoneyTransferInstructionRequestedMechanism	"The network to be used for the processing of the money transfer instruction as requested in the instruction.. e.g. instant SEPA?"	String
Attribute	MoneyTransferInstruction	""	MoneyTransferInstructionStatus	"The processing status of the instruction"	InstructionLifecycleStatus
Attribute	MoneyTransferInstruction	""	MoneyTransferInstructionChannelReference	"Reference to the contact channel that was used to give the money transfer instruction"	String
Class	MoneyTransferInstruction	FinancialInstruction	""	"An instruction to do something expressed in an amount of money."	""
Class	MoneyTransferInstruction	Instruction	""	"A request to do something. "	""
Class	FeeArrangementFulfillmentEvent	""	""	"An even that triggers the fulfilment of a fee arrangement."	""
Attribute	FeeArrangementFulfillmentEvent	""	FeeAmount	"Amount of fee that is charged. . . Amount of money that results from the application of an adjustment (charges. fees, discount or allowance) to the amount due. (ISO20022)"	String
Attribute	FeeArrangementFulfillmentEvent	""	FeeDueDate	"Date on which the fee needs to be paid."	String
Attribute	FeeArrangementFulfillmentEvent	""	FeeEventDescription	"Information about the fee transaction, such as reason, period, applied formula... "	String
Class	FeeArrangementFulfillmentEvent	ArrangementFulfillmentEvent	""	"The fulfilment of the engagements (obligations/rights) taken in an arrangement"	""
Class	MoneyTransferTransaction	""	""	"Transfer of money between two parties and/or accounts"	""
Attribute	MoneyTransferTransaction	""	MoneyTransferTransaction Amount	"The amount of money transferred from the source to the target."	Amount
Attribute	MoneyTransferTransaction	""	MoneyTransferTransactionCurrency	"The currency of the money transfer amount"	String
Attribute	MoneyTransferTransaction	""	MoneyTransferTransactionSourceAccount	"The account the money is transferred from."	String
Attribute	MoneyTransferTransaction	""	MoneyTransferTransactionTargetAccount	"The account the money is transferred to."	String
Attribute	MoneyTransferTransaction	""	MoneyTransferInstructionReference	""	String
Attribute	MoneyTransferTransaction	""	MoneyTransferUsedMethod	"The method used to transfer money; Can be a payment network but also something physical."	String
Attribute	MoneyTransferTransaction	""	MoneyTransferValueDate	"The date on which the money is considerd to have left/have arrived become active can be used /strats to starts is considerd to be "	String
Class	MoneyTransferTransaction	FinancialTransaction	""	"A transaction that changes the financial position (the status of the finances) of involved party.. "	""
Class	MoneyTransferTransaction	Transaction	""	"A planned or performed action in the context of concluding or fulfilling an agreement. . . Act to do something."	""
Class	RepaymentArrangement	""	""	"Arrangement of paying back money previously borrowed from a lender. "	""
Attribute	RepaymentArrangement	""	RepaymentType	""	String
Class	RepaymentArrangement	LoanArrangement	""	"An arrangement defining the applicable features for a loan account agreement. . "	""
Class	RepaymentArrangement	CardPaymentArrangement	""	"An agreement established among the card holder and the card issuer to use the payment card for payment"	""
Class	RepaymentModality	""	""	"The specification of the set of parameters used to calculate a repayment amount."	""
Attribute	RepaymentModality	""	RepaymentSchedule	"Timing modality for repayment."	String
Class	Invoice	""	""	"A formal request to pay an amount of money owed for delivered goods or services.   . . What is invoiced should be conformant to . - what is agreed in a customer agreement and . - applicable regulations. . - Good or services. . . "	""
Attribute	Invoice	""	InvoiceIdentifier	""	String
Attribute	Invoice	""	InvoiceType	""	String
Attribute	Invoice	""	InvoiceDueDate	""	String
Attribute	Invoice	""	InvoicePeriod	"Specifies the period covered by an invoice for instance for recurring services. (ISO20022)"	String
Attribute	Invoice	""	InvoiceAssignedDocument	""	String
Attribute	Invoice	""	InvoiceAdress	"The address used to send the invoice to."	String
Attribute	Invoice	""	InvoiceAmount	"Amount of invoice.. . ISO20022 has defined different type of amount for an invoice:. . - InvoiceTotalAmount: Total amount of the invoice, being the sum of total invoice lines amounts, total invoice additional amounts (allowances and charges) and total tax amounts.. . - InvoiceTaxAmount: Sum of all tax amounts related to the invoice. It is derived from the association between line item and tax.. . - InvoicePrepaidAmount: Monetary value of the total prepaid amount being reported for this settlement.. . - InvoiceNetAmount: Total amount after taxes, adjustments and charges. "	String
Attribute	Invoice	""	InvoiceStatus	""	String
Class	Invoice	PaymentInstruction	""	"Instruction to pay an amount of money to an ultimate beneficiary, on behalf of an originator. (ISO20022)"	""
Class	PaymentInstruction	""	""	"Instruction to pay an amount of money to an ultimate beneficiary, on behalf of an originator. (ISO20022)"	""
